state,state_name,bws_score,bws_category,source_note,n_subregions
NM,New Mexico,4.259,Extremely High,WRI BWS weight=Tot (total water demand),1
CA,California,3.724,High,WRI BWS weight=Tot (total water demand),1
AZ,Arizona,3.487,High,WRI BWS weight=Tot (total water demand),1
CO,Colorado,3.424,High,WRI BWS weight=Tot (total water demand),1
NE,Nebraska,3.16,High,WRI BWS weight=Tot (total water demand),1
NJ,New Jersey,2.797,Medium-High,WRI BWS weight=Tot (total water demand),1
WY,Wyoming,2.779,Medium-High,WRI BWS weight=Tot (total water demand),1
TX,Texas,2.681,Medium-High,WRI BWS weight=Tot (total water demand),1
FL,Florida,2.559,Medium-High,WRI BWS weight=Tot (total water demand),1
NC,North Carolina,2.498,Medium-High,WRI BWS weight=Tot (total water demand),1
DE,Delaware,2.489,Medium-High,WRI BWS weight=Tot (total water demand),1
RI,Rhode Island,2.292,Medium-High,WRI BWS weight=Tot (total water demand),1
AR,Arkansas,2.16,Medium-High,WRI BWS weight=Tot (total water demand),1
NV,Nevada,2.146,Medium-High,WRI BWS weight=Tot (total water demand),1
KS,Kansas,2.139,Medium-High,WRI BWS weight=Tot (total water demand),1
MA,Massachusetts,2.012,Medium-High,WRI BWS weight=Tot (total water demand),1
VA,Virginia,1.94,Low-Medium,WRI BWS weight=Tot (total water demand),1
GA,Georgia,1.889,Low-Medium,WRI BWS weight=Tot (total water demand),1
ID,Idaho,1.863,Low-Medium,WRI BWS weight=Tot (total water demand),1
MT,Montana,1.688,Low-Medium,WRI BWS weight=Tot (total water demand),1
SC,South Carolina,1.684,Low-Medium,WRI BWS weight=Tot (total water demand),1
ND,North Dakota,1.679,Low-Medium,WRI BWS weight=Tot (total water demand),1
MN,Minnesota,1.669,Low-Medium,WRI BWS weight=Tot (total water demand),1
NH,New Hampshire,1.585,Low-Medium,WRI BWS weight=Tot (total water demand),1
OR,Oregon,1.569,Low-Medium,WRI BWS weight=Tot (total water demand),1
WI,Wisconsin,1.492,Low-Medium,WRI BWS weight=Tot (total water demand),1
SD,South Dakota,1.423,Low-Medium,WRI BWS weight=Tot (total water demand),1
AK,Alaska,1.401,Low-Medium,WRI BWS weight=Tot (total water demand),1
IN,Indiana,1.384,Low-Medium,WRI BWS weight=Tot (total water demand),1
CT,Connecticut,1.331,Low-Medium,WRI BWS weight=Tot (total water demand),1
UT,Utah,1.329,Low-Medium,WRI BWS weight=Tot (total water demand),1
MO,Missouri,1.321,Low-Medium,WRI BWS weight=Tot (total water demand),1
OH,Ohio,1.279,Low-Medium,WRI BWS weight=Tot (total water demand),1
OK,Oklahoma,1.256,Low-Medium,WRI BWS weight=Tot (total water demand),1
PA,Pennsylvania,1.225,Low-Medium,WRI BWS weight=Tot (total water demand),1
LA,Louisiana,1.132,Low-Medium,WRI BWS weight=Tot (total water demand),1
VT,Vermont,1.065,Low-Medium,WRI BWS weight=Tot (total water demand),1
WA,Washington,0.903,Low,WRI BWS weight=Tot (total water demand),1
KY,Kentucky,0.888,Low,WRI BWS weight=Tot (total water demand),1
WV,West Virginia,0.858,Low,WRI BWS weight=Tot (total water demand),1
NY,New York,0.834,Low,WRI BWS weight=Tot (total water demand),1
MS,Mississippi,0.809,Low,WRI BWS weight=Tot (total water demand),1
IA,Iowa,0.756,Low,WRI BWS weight=Tot (total water demand),1
IL,Illinois,0.75,Low,WRI BWS weight=Tot (total water demand),1
MD,Maryland,0.583,Low,WRI BWS weight=Tot (total water demand),1
TN,Tennessee,0.579,Low,WRI BWS weight=Tot (total water demand),1
AL,Alabama,0.53,Low,WRI BWS weight=Tot (total water demand),1
MI,Michigan,0.327,Low,WRI BWS weight=Tot (total water demand),1
ME,Maine,0.176,Low,WRI BWS weight=Tot (total water demand),1
DC,District of Columbia,0.143,Low,WRI BWS weight=Tot (total water demand),1
HI,Hawaii,0.0,Low,WRI BWS weight=Tot (total water demand),1
