dc_id,name,provider,address,municipality,state,latitude,longitude,state_from_coords,coord_state_mismatch,MW_total_power,mw_flagged_outlier,miles_to_nearest_airport,sqft_colocation_space,sqft_total_space,url,number,street,est_mw,mw_source,wet_bulb_c,climate_adj,est_liters_per_day,est_liters_per_day_low,est_liters_per_day_high,wue_default,bws_score,bws_category,stress_stressor_match,operator_class,is_hyperscaler_self,is_colocation_major,is_colocation_secondary,is_cable_telecom,is_edge_micro,is_cdn_isp,is_enterprise_self,is_disclosed_mw,lat_lon_grid_cell,lat_lon_grid_id,is_hawaii_alaska,is_water_stressed_state,cooling_type
DC-00000,Equinix: DC2 Ashburn Data Center,Equinix,"21715 Filigree Court, Ashburn, VA, USA",Ashburn,VA,39.0163313,-77.45876232933266,VA,False,4.9,False,4.35,118447.0,147600.0,https://datacenters.com/equinix-dc2-ashburn,21715.0,Filigree Court,4.9,disclosed,10.42958904109589,1.0,103723.2,51861.6,155584.8,1.8,1.94,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,39N-077W,93,False,False,unknown
DC-00001,"Google: Mayes County, OK Data Center",Google,4111 North East 1st Street,,OK,34.16316830266114,-97.42482656719648,OK,False,,False,34.8,,1400000.0,https://datacenters.com/google-mayes-county-ok,4111.0,North East 1st Street,50.0,heuristic:hyperscaler_self,13.776986301369863,1.0,1058400.0,529200.0,1587600.0,1.8,1.256,Low-Medium,False,hyperscaler_self,True,False,False,False,False,False,False,False,34N-097W,49,False,False,unknown
DC-00002,Equinix: NY4 Secaucus Data Center,Equinix,"755 Secaucus Road, Secaucus, NJ, USA",Secaucus,NJ,40.77642805000001,-74.06977591147162,NJ,False,18.5,False,7.46,151772.0,338967.0,https://datacenters.com/equinix-ny4-secaucus,755.0,Secaucus Road,18.5,disclosed,9.82876712328767,1.0,391608.0,195804.0,587412.0,1.8,2.797,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,40N-074W,105,False,False,unknown
DC-00003,Microsoft Azure: Des Moines Data Center,Microsoft Azure,"550 White Crane Rd, West Des Moines, IA 50265, USA",West Des Moines,IA,41.51497801102546,-93.71009936181576,IA,False,,False,2.49,,408000.0,https://datacenters.com/microsoft-azure-des-moines,550.0,White Crane Rd,50.0,heuristic:hyperscaler_self,8.16027397260274,1.0,1058400.0,529200.0,1587600.0,1.8,0.756,Low,False,hyperscaler_self,True,False,False,False,False,False,False,False,41N-093W,125,False,False,unknown
DC-00004,Microsoft Azure: East US 2 - Virginia,Microsoft Azure,"Boydton, VA, USA",VA,VA,36.6673066,-78.3882002,VA,False,,False,174.61,,,https://datacenters.com/microsoft-azure-east-us-2-virginia,,Boydton,50.0,heuristic:hyperscaler_self,12.50876712328767,1.0,1058400.0,529200.0,1587600.0,1.8,1.94,Low-Medium,False,hyperscaler_self,True,False,False,False,False,False,False,False,36N-078W,66,False,False,unknown
DC-00005,QTS Data Centers: Richmond Data Center,QTS Data Centers,"6000 Technology Boulevard, Sandston, VA, USA",Sandston,VA,37.4888273,-77.24748997136237,VA,False,105.0,False,4.29,600000.0,1300000.0,https://datacenters.com/qts-richmond,6000.0,Technology Boulevard,105.0,disclosed,12.107671232876712,1.0,2222640.0,1111320.0,3333960.0,1.8,1.94,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,37N-077W,75,False,False,unknown
DC-00006,"Google: Midlothian, TX Data Center",Google,"3800 Railport Pkwy, Midlothian, TX, USA",Midlothian,TX,32.44324265,-97.048805,TX,False,,False,31.07,,800000.0,https://datacenters.com/google-midlothian-tx,3800.0,Railport Pkwy,50.0,heuristic:hyperscaler_self,15.283013698630135,1.008490410958904,1067386.250958904,533693.125479452,1601079.376438356,1.8,2.681,Medium-High,False,hyperscaler_self,True,False,False,False,False,False,False,False,32N-097W,32,False,False,unknown
DC-00007,Microsoft Azure: South Central US-Texas,Microsoft Azure,"5150 Rogers Rd, San Antonio, TX, USA",San Antonio,TX,29.4798727,-98.692754476773,TX,False,,False,13.68,,470000.0,https://datacenters.com/microsoft-azure-south-central-us-texas,5150.0,Rogers Rd,50.0,heuristic:hyperscaler_self,16.811780821917807,1.054353424657534,1115927.664657534,557963.8323287669,1673891.4969863007,1.8,2.681,Medium-High,False,hyperscaler_self,True,False,False,False,False,False,False,False,29N-098W,14,False,False,unknown
DC-00008,Equinix: MI1 Miami Data Center,Equinix,"50 Northeast 9th Street, Miami, FL, USA",Miami,FL,25.7825762,-80.1927703,FL,False,17.45,False,5.6,255512.0,658528.0,https://datacenters.com/equinix-mi1-miami,50.0,Northeast 9th Street,17.45,disclosed,21.72684931506849,1.2018054794520547,443924.8308887671,221962.4154443836,665887.2463331507,1.8,2.559,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,25N-080W,2,False,False,unknown
DC-00009,Microsoft Azure: North Central US-Illinois,Microsoft Azure,"601 Northwest Avenue, Northlake, IL, USA",Northlake,IL,41.92310615,-87.91826328939885,IL,False,,False,15.5,,700000.0,https://datacenters.com/microsoft-azure-north-central-us-illinois,601.0,Northwest Avenue,50.0,heuristic:hyperscaler_self,7.833150684931508,1.0,1058400.0,529200.0,1587600.0,1.8,0.75,Low,False,hyperscaler_self,True,False,False,False,False,False,False,False,41N-087W,122,False,False,unknown
