dc_id,name,provider,state,latitude,longitude,operator_class,is_hyperscaler_self,is_colocation_major,is_colocation_secondary,est_mw,wet_bulb_c,climate_adj,est_liters_per_day,v1_predicted_wue,bws_score,bws_category
DC-00000,Equinix: DC2 Ashburn Data Center,Equinix,VA,39.0163313,-77.45876232933266,colocation_major,False,True,False,4.9,10.42958904109589,1.0,103723.2,0.5798735,1.94,Low-Medium
DC-00001,"Google: Mayes County, OK Data Center",Google,OK,34.16316830266114,-97.42482656719648,hyperscaler_self,True,False,False,50.0,13.776986301369863,1.0,1058400.0,1.157919,1.256,Low-Medium
DC-00002,Equinix: NY4 Secaucus Data Center,Equinix,NJ,40.77642805000001,-74.06977591147162,colocation_major,False,True,False,18.5,9.82876712328767,1.0,391608.0,0.5158759,2.797,Medium-High
DC-00003,Microsoft Azure: Des Moines Data Center,Microsoft Azure,IA,41.51497801102546,-93.71009936181576,hyperscaler_self,True,False,False,50.0,8.16027397260274,1.0,1058400.0,0.58860135,0.756,Low
DC-00004,Microsoft Azure: East US 2 - Virginia,Microsoft Azure,VA,36.6673066,-78.3882002,hyperscaler_self,True,False,False,50.0,12.50876712328767,1.0,1058400.0,0.6327829,1.94,Low-Medium
DC-00005,QTS Data Centers: Richmond Data Center,QTS Data Centers,VA,37.4888273,-77.24748997136237,colocation_major,False,True,False,105.0,12.107671232876712,1.0,2222640.0,0.49936056,1.94,Low-Medium
DC-00006,"Google: Midlothian, TX Data Center",Google,TX,32.44324265,-97.048805,hyperscaler_self,True,False,False,50.0,15.283013698630135,1.008490410958904,1067386.250958904,0.90797406,2.681,Medium-High
DC-00007,Microsoft Azure: South Central US-Texas,Microsoft Azure,TX,29.4798727,-98.692754476773,hyperscaler_self,True,False,False,50.0,16.811780821917807,1.054353424657534,1115927.664657534,1.0166605,2.681,Medium-High
DC-00008,Equinix: MI1 Miami Data Center,Equinix,FL,25.7825762,-80.1927703,colocation_major,False,True,False,17.45,21.72684931506849,1.2018054794520547,443924.8308887671,0.8384825,2.559,Medium-High
DC-00009,Microsoft Azure: North Central US-Illinois,Microsoft Azure,IL,41.92310615,-87.91826328939885,hyperscaler_self,True,False,False,50.0,7.833150684931508,1.0,1058400.0,0.5474377,0.75,Low
